PROVINCIA,PARTIDO,LOCALIDAD,POBLACION,M_ADSL,M_CABLEMODEM,M_DIAL_UP,M_FIBRA_OPTICA,M_SATELITAL,M_WIRELESS,M_TELEFONIA_FIJA,M_3G,M_4G,LATITUD,LONGITUD,DISTANCIA
BUENOS AIRES,TRES ARROYOS,MICAELA CASCALLARES (EST. CASCALLARES),567,False,False,False,True,False,True,True,True,True,-38.4926790060303,-60.4684232796744,472.48
MENDOZA,SAN MARTÍN,EL RAMBLÓN,159,False,False,False,False,False,True,False,False,False,-33.1617709736953,-68.2954844260235,924.54
CABA,COMUNA 10,VERSALLES,13822,True,True,True,True,True,True,True,True,True,-34.6301234618064,-58.5224017483433,11.08
CORDOBA,SANTA MARÍA,DESPEÑADEROS,5758,True,False,False,True,False,True,True,True,True,-31.8170515932731,-64.2889894059973,625.86
CORDOBA,SANTA MARÍA,DIQUE CHICO,167,False,False,False,False,False,False,False,False,False,-31.751852051978,-64.3627643049016,635.58
CORDOBA,SANTA MARÍA,EL POTRERILLO,85,False,False,False,False,False,False,False,True,True,-31.6456181955204,-64.481617153406,651.33
CORDOBA,SANTA MARÍA,FALDA DEL CAÑETE,29,False,False,False,False,False,False,False,True,False,-31.5345237877237,-64.4559553621678,655.84
CORDOBA,SANTA MARÍA,FALDA DEL CARMEN,170,False,False,False,False,False,False,True,False,True,-31.5854632680747,-64.4548814536225,652.71
CORDOBA,SANTA MARÍA,JOSÉ DE LA QUINTANA,419,False,False,False,False,False,False,False,False,True,-31.8034930461757,-64.418856525597,637.18
CORDOBA,SANTA MARÍA,LA BOCA DEL RÍO,80,False,False,False,False,False,False,True,False,False,-31.8374172963205,-64.4336411746815,636.48
CORDOBA,SANTA MARÍA,LA CARBONADA,207,False,False,False,False,False,False,False,False,True,-31.5285694623422,-64.0712556356294,625.78
CORDOBA,SANTA MARÍA,LA CUMBRECITA,0,False,False,False,False,False,True,True,False,False,-31.898333,-64.773333,661.14
CORDOBA,SANTA MARÍA,LA DONOSA,0,False,False,False,False,False,True,False,False,False,-31.6430306930417,-64.3453826897825,640.53
CORDOBA,SANTA MARÍA,LA PAISANITA,60,True,False,False,False,False,False,True,False,True,-31.7194206060414,-64.4779150030479,646.76
CORDOBA,SANTA MARÍA,LA PERLA,895,False,False,False,False,False,False,False,True,True,-31.4425579240341,-64.3484859265831,652.91
CORDOBA,SANTA MARÍA,LA RANCHERITA,129,False,False,False,False,False,False,False,False,False,-31.7574675409558,-64.448690277725,642.22
CORDOBA,SANTA MARÍA,LA SERRANITA,430,False,False,False,False,False,False,True,True,False,-31.7331340814564,-64.4564154524522,644.23
CORDOBA,SANTA MARÍA,LOS CEDROS - LAS QUINTAS,1069,False,False,False,False,False,False,True,True,True,-31.5262509877113,-64.2847584167114,642.73
CORDOBA,SANTA MARÍA,LOZADA,1013,False,False,False,False,False,False,True,True,True,-31.6484545317081,-64.0899796115028,619.85
CORDOBA,SANTA MARÍA,MALAGUEÑO,7136,True,False,False,True,False,True,True,True,True,-31.4648051043666,-64.3584261973277,652.32
CORDOBA,SANTA MARÍA,MI VALLE,0,False,False,False,False,False,False,False,False,False,-31.5725913753684,-64.3341910295503,643.84
CORDOBA,SANTA MARÍA,MILENICA,0,False,False,False,False,False,False,False,True,True,-31.4572735024583,-64.4057106148379,656.53
CORDOBA,SANTA MARÍA,MONTE RALO,518,False,False,False,False,False,False,False,True,True,-31.9115749813288,-64.2399918461068,616.53
CORDOBA,SANTA MARÍA,POTRERO DE GARAY,1017,False,False,False,True,False,True,True,True,True,-31.7824159665775,-64.5424068778316,648.44
CORDOBA,SANTA MARÍA,RAFAEL GARCÍA,555,False,False,False,False,False,False,True,False,True,-31.6465373949134,-64.2584787728338,633.37
CORDOBA,SANTA MARÍA,SAN CLEMENTE,134,False,False,False,False,False,False,True,True,True,-31.7166546515515,-64.6265869046185,659.0
CORDOBA,SANTA MARÍA,SAN NICOLÁS,1171,True,False,False,False,False,False,True,True,True,-31.435151387072,-64.4492154097951,661.33
CORDOBA,SANTA MARÍA,SOCAVONES,263,False,False,False,False,False,False,False,False,False,-31.5493965148926,-64.1430740356445,630.12
